1,3
2,4
3,0
4,2
5,4
6,3
7,0
8,2
9,3
10,8
11,18
12,24
13,4
14,21
15,8
16,5
17,21
18,22
19,8
20,21
21,22
22,23
23,23
24,22
25,24
26,19
27,19
28,18
29,9
30,5
31,9
32,12
33,8
34,13
35,12
36,11
37,10
38,8
39,4
40,5
41,4
42,11
43,10
44,19
45,8
46,5
47,17
48,14
49,6
50,14
51,6
52,15
53,15
54,9
55,13
56,13
57,12
58,10
59,2
60,11
61,21
62,15
63,10
64,12
65,30
66,28
67,11
68,24
69,12
70,27
71,8
72,17
73,12
74,17
75,24
76,9
77,21
78,9
79,28
80,22
81,13
82,2
83,21
84,31
85,7
86,21
87,15
88,6
89,16
90,30
91,17
92,18
93,7
94,30
95,6
96,14
97,26
98,14
99,7
100,5
101,13
102,10
103,32
104,32
105,5
106,8
107,12
108,11
109,12
110,4
111,7
112,8
113,11
114,12
115,16
116,10
117,17
118,13
119,9
120,6
121,12
122,11
123,14
124,11
125,11
126,10
127,12
128,13
129,9
130,15
131,17
132,11
133,16
134,14
135,15
136,13
137,10
138,9
139,14
140,10
141,7
142,10
143,8
144,11
145,6
146,12
147,7
148,11
149,8
150,11
151,12
152,7
153,11
154,93
155,67
156,5
157,9
158,12
159,8
160,9
161,13
162,16
163,24
164,23
165,18
166,18
167,14
168,38
169,22
170,114
171,24
172,32
173,18
174,23
175,18
176,35
177,23
178,57
179,39
180,94
181,109
182,65
183,74
184,131
185,40
186,64
187,60
188,55
189,44
190,66
191,57
192,38
193,33
194,70
195,33
196,98
197,106
198,54
199,92
200,89
201,71
202,101
203,36
204,52
205,121
206,30
207,24
208,26
209,30
210,28
211,32
212,16
213,24
214,24
215,17
216,35
217,17
218,7
219,12
220,11
221,18
222,9
223,4
224,13
225,9
226,16
227,6
228,15
229,13
230,13
231,37
232,74
233,164
234,142
235,131
236,152
237,135
238,81
239,88
240,123
241,95
242,92
243,88
244,65
245,94
246,81
247,107
248,35
249,53
250,70
251,78
252,76
253,71
254,50
255,63
256,88
257,49
258,83
259,29
260,52
261,88
262,55
263,28
264,27
265,72
266,41
267,28
268,41
269,33
270,32
271,24
272,43
273,35
274,32
275,38
276,27
277,25
278,34
279,31
280,13
281,26
282,42
283,39
284,20
285,31
286,16
287,7
288,9
289,17
290,35
291,5
292,23
293,14
294,28
295,15
296,16
297,4
298,76
299,17
300,19
301,66
302,68
